num_critic_for_reviews,num_user_for_reviews,movie_title
723,3054,AvataråÊ
302,1238,Pirates of the Caribbean: At World's EndåÊ
602,994,SpectreåÊ
813,2701,The Dark Knight RisesåÊ
,,Star Wars: Episode VII - The Force AwakensåÊ            
462,738,John CarteråÊ
392,1902,Spider-Man 3åÊ
324,387,TangledåÊ
635,1117,Avengers: Age of UltronåÊ
375,973,Harry Potter and the Half-Blood PrinceåÊ
673,3018,Batman v Superman: Dawn of JusticeåÊ
434,2367,Superman ReturnsåÊ
403,1243,Quantum of SolaceåÊ
313,1832,Pirates of the Caribbean: Dead Man's CheståÊ
450,711,The Lone RangeråÊ
733,2536,Man of SteelåÊ
258,438,The Chronicles of Narnia: Prince CaspianåÊ
703,1722,The AvengersåÊ
448,484,Pirates of the Caribbean: On Stranger TidesåÊ
451,341,Men in Black 3åÊ
422,802,The Hobbit: The Battle of the Five ArmiesåÊ
599,1225,The Amazing Spider-ManåÊ
343,546,Robin HoodåÊ
509,951,The Hobbit: The Desolation of SmaugåÊ
251,666,The Golden CompassåÊ
446,2618,King KongåÊ
315,2528,TitanicåÊ
516,1022,Captain America: Civil WaråÊ
377,751,BattleshipåÊ
644,1290,Jurassic WorldåÊ
750,1498,SkyfallåÊ
300,1303,Spider-Man 2åÊ
608,1187,Iron Man 3åÊ
451,736,Alice in WonderlandåÊ
334,1912,X-Men: The Last StandåÊ
376,265,Monsters UniversityåÊ
366,1439,Transformers: Revenge of the FallenåÊ
378,918,Transformers: Age of ExtinctionåÊ
525,511,Oz the Great and PowerfulåÊ
495,1067,The Amazing Spider-Man 2åÊ
469,665,TRON: LegacyåÊ
304,283,Cars 2åÊ
436,550,Green LanternåÊ
453,733,Toy Story 3åÊ
422,974,Terminator SalvationåÊ
424,657,Furious 7åÊ
654,995,World War ZåÊ
539,752,X-Men: Days of Future PaståÊ
590,1171,Star Trek Into DarknessåÊ
338,205,Jack the Giant SlayeråÊ
490,753,The Great GatsbyåÊ
306,453,Prince of Persia: The Sands of TimeåÊ
575,1106,Pacific RimåÊ
428,899,Transformers: Dark of the MoonåÊ
470,2054,Indiana Jones and the Kingdom of the Crystal SkullåÊ
298,345,The Good DinosauråÊ
488,428,BraveåÊ
322,432,Star Trek BeyondåÊ
421,1043,WALLåáEåÊ
162,221,Rush Hour 3åÊ
367,1055,2012åÊ
240,249,A Christmas CarolåÊ
384,720,Jupiter AscendingåÊ
248,239,The Legend of TarzanåÊ
284,1463,"The Chronicles of Narnia: The Lion, the Witch and the WardrobeåÊ"
396,622,X-Men: ApocalypseåÊ
645,4667,The Dark KnightåÊ
408,704,UpåÊ
219,187,Monsters vs. AliensåÊ
486,1055,Iron ManåÊ
682,678,HugoåÊ
85,648,Wild Wild WeståÊ
264,501,The Mummy: Tomb of the Dragon EmperoråÊ
418,971,Suicide SquadåÊ
186,257,Evan AlmightyåÊ
585,741,Edge of TomorrowåÊ
91,309,WaterworldåÊ
250,534,G.I. Joe: The Rise of CobraåÊ
536,773,Inside OutåÊ
370,398,The Jungle BookåÊ
453,723,Iron Man 2åÊ
416,710,Snow White and the HuntsmanåÊ
401,634,MaleficentåÊ
521,620,Dawn of the Planet of the ApesåÊ
10,15,The LoversåÊ
218,324,47 RoninåÊ
576,742,Captain America: The Winter SoldieråÊ
226,173,Shrek Forever AfteråÊ
443,497,TomorrowlandåÊ
384,433,Big Hero 6åÊ
377,345,Wreck-It RalphåÊ
188,444,The Polar ExpressåÊ
286,520,Independence Day: ResurgenceåÊ
288,492,How to Train Your DragonåÊ
280,1676,Terminator 3: Rise of the MachinesåÊ
653,1097,Guardians of the GalaxyåÊ
712,2725,InterstellaråÊ
642,2803,InceptionåÊ
1,13,Godzilla ResurgenceåÊ
645,1367,The Hobbit: An Unexpected JourneyåÊ
187,988,The Fast and the FuriousåÊ
362,822,The Curious Case of Benjamin ButtonåÊ
500,698,X-Men: First ClassåÊ
389,383,The Hunger Games: Mockingjay - Part 2åÊ
235,238,The Sorcerer's ApprenticeåÊ
231,629,PoseidonåÊ
218,131,Alice Through the Looking GlassåÊ
227,326,Shrek the ThirdåÊ
275,781,WarcraftåÊ
474,867,Terminator GenisysåÊ
228,227,The Chronicles of Narnia: The Voyage of the Dawn TreaderåÊ
191,1999,Pearl HarboråÊ
396,1782,TransformersåÊ
248,1390,AlexanderåÊ
329,1108,Harry Potter and the Order of the PhoenixåÊ
295,1896,Harry Potter and the Goblet of FireåÊ
318,590,HancockåÊ
323,1413,I Am LegendåÊ
276,1361,Charlie and the Chocolate FactoryåÊ
318,626,RatatouilleåÊ
478,2685,Batman BeginsåÊ
167,119,Madagascar: Escape 2 AfricaåÊ
185,209,Night at the Museum: Battle of the SmithsonianåÊ
350,641,X-Men Origins: WolverineåÊ
245,2121,The Matrix RevolutionsåÊ
406,904,FrozenåÊ
275,2789,The Matrix ReloadedåÊ
486,532,Thor: The Dark WorldåÊ
739,1588,Mad Max: Fury RoadåÊ
298,435,Angels & DemonsåÊ
516,738,ThoråÊ
225,178,BoltåÊ
145,90,G-ForceåÊ
310,253,Wrath of the TitansåÊ
526,479,Dark ShadowsåÊ
465,440,Mission: Impossible - Rogue NationåÊ
357,432,The WolfmanåÊ
248,239,The Legend of TarzanåÊ
194,206,Bee MovieåÊ
284,209,Kung Fu Panda 2åÊ
280,1382,The Last AirbenderåÊ
310,871,Mission: Impossible IIIåÊ
339,434,White House DownåÊ
132,112,Mars Needs MomsåÊ
135,122,Flushed AwayåÊ
256,186,PanåÊ
196,130,Mr. Peabody & ShermanåÊ
220,1694,TroyåÊ
211,154,Madagascar 3: Europe's Most WantedåÊ
264,1185,Die Another DayåÊ
464,1211,GhostbustersåÊ
167,1171,ArmageddonåÊ
208,606,Men in Black IIåÊ
287,505,BeowulfåÊ
210,145,Kung Fu Panda 3åÊ
432,512,Mission: Impossible - Ghost ProtocolåÊ
256,174,Rise of the GuardiansåÊ
