movie_title,num_critic_for_reviews,num_user_for_reviews
Avatar,723,3054
Pirates of the Caribbean: At Worlds End,302,1238
Spectre,602,994
The Dark Knight Rises,813,2701
Star Wars: Episode VII - The Force Awakens        ,,
John Carter,462,738
Spider-Man 3Ê,392,1902
Tangled,324,387
Avengers: Age of UltronÊ,635,1117
Harry Potter and the Half-Blood Prince,375,973
Batman v Superman: Dawn of JusticeÊ,673,3018
Superman Returns,434,2367
Quantum of SolaceÊ,403,1243
Pirates of the Caribbean: Dead Man's ChestÊ,313,1832
The Lone Ranger,450,711
Man of SteelÊ,733,2536
The Chronicles of Narnia: Prince CaspianåÊ,258,438
The AvengersåÊ,703,1722
Pirates of the Caribbean: On Stranger TidesåÊ,448,484
Men in Black 3åÊ,451,341
The Hobbit: The Battle of the Five ArmiesåÊ,422,802
The Amazing Spider-ManåÊ,599,1225
Robin HoodåÊ,343,546
The Hobbit: The Desolation of SmaugåÊ,509,951
The Golden CompassåÊ,251,666
King KongåÊ,446,2618
TitanicåÊ,315,2528
Captain America: Civil WaråÊ,516,1022
BattleshipåÊ,377,751
Jurassic WorldåÊ,644,1290
SkyfallåÊ,750,1498
Spider-Man 2åÊ,300,1303
Iron Man 3åÊ,608,1187
Alice in WonderlandåÊ,451,736
X-Men: The Last StandåÊ,334,1912
Monsters UniversityåÊ,376,265
Transformers: Revenge of the FallenåÊ,366,1439
Transformers: Age of ExtinctionåÊ,378,918
Oz the Great and PowerfulåÊ,525,511
The Amazing Spider-Man 2åÊ,495,1067
TRON: LegacyåÊ,469,665
Cars 2åÊ,304,283
Green LanternåÊ,436,550
Toy Story 3åÊ,453,733
Terminator SalvationåÊ,422,974
Furious 7åÊ,424,657
World War ZåÊ,654,995
X-Men: Days of Future PaståÊ,539,752
Star Trek Into DarknessåÊ,590,1171
Jack the Giant SlayeråÊ,338,205
The Great GatsbyåÊ,490,753
Prince of Persia: The Sands of TimeåÊ,306,453
Pacific RimåÊ,575,1106
Transformers: Dark of the MoonåÊ,428,899
Indiana Jones and the Kingdom of the Crystal SkullåÊ,470,2054
The Good DinosauråÊ,298,345
BraveåÊ,488,428
Star Trek BeyondåÊ,322,432
WALLåáEåÊ,421,1043
Rush Hour 3åÊ,162,221
2012åÊ,367,1055
A Christmas CarolåÊ,240,249
Jupiter AscendingåÊ,384,720
The Legend of TarzanåÊ,248,239
"The Chronicles of Narnia: The Lion, the Witch and the WardrobeåÊ",284,1463
X-Men: ApocalypseåÊ,396,622
The Dark KnightåÊ,645,4667
UpåÊ,408,704
Monsters vs. AliensåÊ,219,187
Iron ManåÊ,486,1055
HugoåÊ,682,678
Wild Wild WeståÊ,85,648
The Mummy: Tomb of the Dragon EmperoråÊ,264,501
Suicide SquadåÊ,418,971
Evan AlmightyåÊ,186,257
Edge of TomorrowåÊ,585,741
WaterworldåÊ,91,309
G.I. Joe: The Rise of CobraåÊ,250,534
Inside OutåÊ,536,773
The Jungle BookåÊ,370,398
Iron Man 2åÊ,453,723
Snow White and the HuntsmanåÊ,416,710
MaleficentåÊ,401,634
Dawn of the Planet of the ApesåÊ,521,620
The LoversåÊ,10,15
47 RoninåÊ,218,324
Captain America: The Winter SoldieråÊ,576,742
Shrek Forever AfteråÊ,226,173
TomorrowlandåÊ,443,497
Big Hero 6åÊ,384,433
Wreck-It RalphåÊ,377,345
The Polar ExpressåÊ,188,444
Independence Day: ResurgenceåÊ,286,520
How to Train Your DragonåÊ,288,492
Terminator 3: Rise of the MachinesåÊ,280,1676
Guardians of the GalaxyåÊ,653,1097
InterstellaråÊ,712,2725
InceptionåÊ,642,2803
Godzilla ResurgenceåÊ,1,13
The Hobbit: An Unexpected JourneyåÊ,645,1367
The Fast and the FuriousåÊ,187,988
The Curious Case of Benjamin ButtonåÊ,362,822
X-Men: First ClassåÊ,500,698
The Hunger Games: Mockingjay - Part 2åÊ,389,383
The Sorcerer's ApprenticeåÊ,235,238
PoseidonåÊ,231,629
Alice Through the Looking GlassåÊ,218,131
Shrek the ThirdåÊ,227,326
WarcraftåÊ,275,781
Terminator GenisysåÊ,474,867
The Chronicles of Narnia: The Voyage of the Dawn TreaderåÊ,228,227
Pearl HarboråÊ,191,1999
TransformersåÊ,396,1782
AlexanderåÊ,248,1390
Harry Potter and the Order of the PhoenixåÊ,329,1108
Harry Potter and the Goblet of FireåÊ,295,1896
HancockåÊ,318,590
I Am LegendåÊ,323,1413
Charlie and the Chocolate FactoryåÊ,276,1361
RatatouilleåÊ,318,626
Batman BeginsåÊ,478,2685
Madagascar: Escape 2 AfricaåÊ,167,119
Night at the Museum: Battle of the SmithsonianåÊ,185,209
X-Men Origins: WolverineåÊ,350,641
The Matrix RevolutionsåÊ,245,2121
FrozenåÊ,406,904
The Matrix ReloadedåÊ,275,2789
Thor: The Dark WorldåÊ,486,532
Mad Max: Fury RoadåÊ,739,1588
Angels & DemonsåÊ,298,435
ThoråÊ,516,738
BoltåÊ,225,178
G-ForceåÊ,145,90
Wrath of the TitansåÊ,310,253
Dark ShadowsåÊ,526,479
Mission: Impossible - Rogue NationåÊ,465,440
The WolfmanåÊ,357,432
The Legend of TarzanåÊ,248,239
Bee MovieåÊ,194,206
Kung Fu Panda 2åÊ,284,209
The Last AirbenderåÊ,280,1382
Mission: Impossible IIIåÊ,310,871
White House DownåÊ,339,434
Mars Needs MomsåÊ,132,112
Flushed AwayåÊ,135,122
PanåÊ,256,186
Mr. Peabody & ShermanåÊ,196,130
TroyåÊ,220,1694
Madagascar 3: Europe's Most WantedåÊ,211,154
Die Another DayåÊ,264,1185
GhostbustersåÊ,464,1211
ArmageddonåÊ,167,1171
Men in Black IIåÊ,208,606
BeowulfåÊ,287,505
Kung Fu Panda 3åÊ,210,145
Mission: Impossible - Ghost ProtocolåÊ,432,512
Rise of the GuardiansåÊ,256,174
Fun with Dick and JaneåÊ,135,258
The Last SamuraiåÊ,190,928
Exodus: Gods and KingsåÊ,314,657
Star TrekåÊ,518,1559
Spider-ManåÊ,291,2012
How to Train Your Dragon 2åÊ,292,343
Gods of EgyptåÊ,184,273
StealthåÊ,145,388
WatchmenåÊ,451,1229
Lethal Weapon 4åÊ,141,287
HulkåÊ,267,1445
G.I. Joe: RetaliationåÊ,351,288
SaharaåÊ,163,463
Final Fantasy: The Spirits WithinåÊ,166,788
Captain America: The First AvengeråÊ,510,679
The World Is Not EnoughåÊ,197,683
Master and Commander: The Far Side of the WorldåÊ,244,684
The Twilight Saga: Breaking Dawn - Part 2åÊ,322,329
Happy Feet 2åÊ,156,79
The Incredible HulkåÊ,354,643
Miami ViceåÊ            ,21,74
The BFGåÊ,252,106
The RevenantåÊ,556,1188
TurboåÊ,166,90
RangoåÊ,362,337
Penguins of MadagascaråÊ,153,118
The Bourne UltimatumåÊ,329,820
Kung Fu PandaåÊ,266,360
Ant-ManåÊ,517,549
The Hunger Games: Catching FireåÊ,502,706
The Twilight Saga: Breaking Dawn - Part 2åÊ,322,329
HomeåÊ,165,214
War of the WorldsåÊ,401,2741
Bad Boys IIåÊ,94,511
Puss in BootsåÊ,246,137
SaltåÊ,330,514
NoahåÊ,434,1240
The Adventures of TintinåÊ,440,447
Harry Potter and the Prisoner of AzkabanåÊ,274,1504
AustraliaåÊ,245,450
After EarthåÊ,349,744
DinosauråÊ,145,241
Harry Potter and the Deathly Hallows: Part IIåÊ,1,2
Night at the Museum: Secret of the TombåÊ,154,126
MegamindåÊ,233,187
Harry Potter and the Sorcerer's StoneåÊ,258,1571
R.I.P.D.åÊ,208,210
Godzilla ResurgenceåÊ,1,13
Pirates of the Caribbean: The Curse of the Black PearlåÊ,271,2113
Harry Potter and the Deathly Hallows: Part IåÊ,4,2
The Hunger Games: Mockingjay - Part 1åÊ,403,591
The Da Vinci CodeåÊ,294,1966
Rio 2åÊ,159,99
X-Men 2åÊ,289,1055
Fast FiveåÊ,342,366
Sherlock Holmes: A Game of ShadowsåÊ,382,412
Clash of the TitansåÊ,344,637
Total RecallåÊ,196,391
The 13th WarrioråÊ,85,546
The Bourne LegacyåÊ,436,504
Batman & RobinåÊ,183,1018
How the Grinch Stole ChristmasåÊ,175,482
The Day After TomorrowåÊ,239,1159
Mission: Impossible IIåÊ,237,1426
The Perfect StormåÊ,231,779
Fantastic 4: Rise of the Silver SurferåÊ,262,436
Life of PiåÊ,552,755
Ghost RideråÊ,276,681
Jason BourneåÊ,267,297
Charlie's Angels: Full ThrottleåÊ,102,554
PrometheusåÊ,775,2326
