director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,movie_title
James Cameron,0,CCH Pounder,1000,Joel David Moore,936,Wes Studi,855,Avatar
Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,Pirates of the Caribbean: At Worlds End
Sam Mendes,0,Christoph Waltz,11000,Rory Kinnear,393,Stephanie Sigman,161,SpectreåÊ
Christopher Nolan,22000,Tom Hardy,27000,Christian Bale,23000,Joseph Gordon-Levitt,23000,The Dark Knight RisesåÊ
Doug Walker,131,Doug Walker,131,Rob Walker,12,,,Star Wars: Episode VII - The Force AwakensåÊ            
Andrew Stanton,475,Daryl Sabara,640,Samantha Morton,632,Polly Walker,530,John CarteråÊ
Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,Spider-Man 3åÊ
Nathan Greno,15,Brad Garrett,799,Donna Murphy,553,M.C. Gainey,284,TangledåÊ
Joss Whedon,0,Chris Hemsworth,26000,Robert Downey Jr.,21000,Scarlett Johansson,19000,Avengers: Age of UltronåÊ
David Yates,282,Alan Rickman,25000,Daniel Radcliffe,11000,Rupert Grint,10000,Harry Potter and the Half-Blood PrinceåÊ
Zack Snyder,0,Henry Cavill,15000,Lauren Cohan,4000,Alan D. Purwin,2000,Batman v Superman: Dawn of JusticeåÊ
Bryan Singer,0,Kevin Spacey,18000,Marlon Brando,10000,Frank Langella,903,Superman ReturnsåÊ
Marc Forster,395,Giancarlo Giannini,451,Mathieu Amalric,412,Rory Kinnear,393,Quantum of SolaceåÊ
Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,Pirates of the Caribbean: Dead Man's CheståÊ
Gore Verbinski,563,Johnny Depp,40000,Ruth Wilson,2000,Tom Wilkinson,1000,The Lone RangeråÊ
Zack Snyder,0,Henry Cavill,15000,Christopher Meloni,3000,Harry Lennix,748,Man of SteelåÊ
Andrew Adamson,80,Peter Dinklage,22000,Pierfrancesco Favino,216,DamiÌÁn AlcÌÁzar,201,The Chronicles of Narnia: Prince CaspianåÊ
Joss Whedon,0,Chris Hemsworth,26000,Robert Downey Jr.,21000,Scarlett Johansson,19000,The AvengersåÊ
