movie_facebook_likes,imdb_score,cast_total_facebook_likes,movie_title
33000,7.9,4834,AvatarŒæ
0,7.1,48350,Pirates of the Caribbean: At World's EndŒæ
85000,6.8,11700,SpectreŒæ
164000,8.5,106759,The Dark Knight RisesŒæ
0,7.1,143,Star Wars: Episode VII - The Force AwakensŒæ            
24000,6.6,1873,John CarterŒæ
0,6.2,46055,Spider-Man 3Œæ
29000,7.8,2036,TangledŒæ
118000,7.5,92000,Avengers: Age of UltronŒæ
10000,7.5,58753,Harry Potter and the Half-Blood PrinceŒæ
197000,6.9,24450,Batman v Superman: Dawn of JusticeŒæ
0,6.1,29991,Superman ReturnsŒæ
0,6.7,2023,Quantum of SolaceŒæ
5000,7.3,48486,Pirates of the Caribbean: Dead Man's ChestŒæ
48000,6.5,45757,The Lone RangerŒæ
118000,7.2,20495,Man of SteelŒæ
0,6.6,22697,The Chronicles of Narnia: Prince CaspianŒæ
123000,8.1,87697,The AvengersŒæ
58000,6.7,54083,Pirates of the Caribbean: On Stranger TidesŒæ
40000,6.8,12572,Men in Black 3Œæ
65000,7.5,9152,The Hobbit: The Battle of the Five ArmiesŒæ
56000,7,28489,The Amazing Spider-ManŒæ
17000,6.7,3244,Robin HoodŒæ
83000,7.9,9152,The Hobbit: The Desolation of SmaugŒæ
0,6.1,24106,The Golden CompassŒæ
0,7.2,7123,King KongŒæ
26000,7.7,45223,TitanicŒæ
72000,8.2,64798,Captain America: Civil WarŒæ
44000,5.9,26679,BattleshipŒæ
150000,7,8458,Jurassic WorldŒæ
80000,7.8,2039,SkyfallŒæ
0,7.3,43388,Spider-Man 2Œæ
95000,7.2,30426,Iron Man 3Œæ
24000,6.5,79957,Alice in WonderlandŒæ
0,6.8,21714,X-Men: The Last StandŒæ
44000,7.3,14863,Monsters UniversityŒæ
0,6,3218,Transformers: Revenge of the FallenŒæ
56000,5.7,3988,Transformers: Age of ExtinctionŒæ
60000,6.4,73441,Oz the Great and PowerfulŒæ
41000,6.7,28631,The Amazing Spider-Man 2Œæ
30000,6.8,25550,TRON: LegacyŒæ
10000,6.3,4482,Cars 2Œæ
24000,5.6,17657,Green LanternŒæ
30000,8.3,19085,Toy Story 3Œæ
0,6.6,27468,Terminator SalvationŒæ
94000,7.2,79150,Furious 7Œæ
129000,7,32392,World War ZŒæ
82000,8,91434,X-Men: Days of Future PastŒæ
92000,7.8,21411,Star Trek Into DarknessŒæ
22000,6.3,1766,Jack the Giant SlayerŒæ
115000,7.3,29770,The Great GatsbyŒæ
23000,6.6,16149,Prince of Persia: The Sands of TimeŒæ
83000,7,19166,Pacific RimŒæ
46000,6.3,2593,Transformers: Dark of the MoonŒæ
5000,6.2,14959,Indiana Jones and the Kingdom of the Crystal SkullŒæ
20000,6.8,696,The Good DinosaurŒæ
39000,7.2,5005,BraveŒæ
30000,7.5,1327,Star Trek BeyondŒæ
16000,8.4,2975,WALLŒ‡EŒæ
0,6.2,1125,Rush Hour 3Œæ
13000,5.8,2144,2012Œæ
0,6.8,48878,A Christmas CarolŒæ
44000,5.4,47334,Jupiter AscendingŒæ
29000,6.6,21175,The Legend of TarzanŒæ
0,6.9,1317,"The Chronicles of Narnia: The Lion, the Witch and the WardrobeŒæ"
54000,7.3,49684,X-Men: ApocalypseŒæ
37000,9,57802,The Dark KnightŒæ
27000,8.3,2635,UpŒæ
0,6.5,2579,Monsters vs. AliensŒæ
10000,7.9,39252,Iron ManŒæ
42000,7.5,36017,HugoŒæ
0,4.8,15870,Wild Wild WestŒæ
0,5.2,9131,The Mummy: Tomb of the Dragon EmperorŒæ
80000,6.9,11287,Suicide SquadŒæ
2000,5.4,108016,Evan AlmightyŒæ
77000,7.9,12652,Edge of TomorrowŒæ
0,6.1,1004,WaterworldŒæ
0,5.8,26683,G.I. Joe: The Rise of CobraŒæ
118000,8.3,2944,Inside OutŒæ
65000,7.8,32921,The Jungle BookŒæ
18000,7,48638,Iron Man 2Œæ
53000,6.1,72881,Snow White and the HuntsmanŒæ
89000,7,15516,MaleficentŒæ
45000,7.6,14363,Dawn of the Planet of the ApesŒæ
677,4.5,1982,The LoversŒæ
35000,6.3,20965,47 RoninŒæ
55000,7.8,36188,Captain America: The Winter SoldierŒæ
0,6.4,4628,Shrek Forever AfterŒæ
37000,6.5,5046,TomorrowlandŒæ
41000,7.9,2963,Big Hero 6Œæ
40000,7.8,4451,Wreck-It RalphŒæ
10000,6.6,16264,The Polar ExpressŒæ
67000,5.5,3233,Independence Day: ResurgenceŒæ
33000,8.2,20453,How to Train Your DragonŒæ
0,6.4,1769,Terminator 3: Rise of the MachinesŒæ
96000,8.1,32438,Guardians of the GalaxyŒæ
349000,8.6,31488,InterstellarŒæ
175000,8.8,81115,InceptionŒæ
0,8.2,699,Godzilla ResurgenceŒæ
166000,7.9,9152,The Hobbit: An Unexpected JourneyŒæ
14000,6.7,45327,The Fast and the FuriousŒæ
23000,7.8,13333,The Curious Case of Benjamin ButtonŒæ
54000,7.8,50983,X-Men: First ClassŒæ
38000,6.6,81385,The Hunger Games: Mockingjay - Part 2Œæ
11000,6.1,13388,The Sorcerer's ApprenticeŒæ
0,5.6,92456,PoseidonŒæ
30000,6.4,80806,Alice Through the Looking GlassŒæ
0,6.1,4705,Shrek the ThirdŒæ
89000,7.3,5505,WarcraftŒæ
82000,6.6,38873,Terminator GenisysŒæ
11000,6.3,764,The Chronicles of Narnia: The Voyage of the Dawn TreaderŒæ
0,6.1,5401,Pearl HarborŒæ
8000,7.1,2333,TransformersŒæ
0,5.5,24598,AlexanderŒæ
0,7.5,33433,Harry Potter and the Order of the PhoenixŒæ
0,7.6,53413,Harry Potter and the Goblet of FireŒæ
0,6.4,21584,HancockŒæ
11000,7.2,13076,I Am LegendŒæ
0,6.7,57844,Charlie and the Chocolate FactoryŒæ
10000,8,4764,RatatouilleŒæ
15000,8.3,59558,Batman BeginsŒæ
0,6.7,3285,Madagascar: Escape 2 AfricaŒæ
2000,5.9,54039,Night at the Museum: Battle of the SmithsonianŒæ
0,6.7,40054,X-Men Origins: WolverineŒæ
0,6.7,1062,The Matrix RevolutionsŒæ
58000,7.6,2582,FrozenŒæ
0,7.2,534,The Matrix ReloadedŒæ
63000,7.1,59803,Thor: The Dark WorldŒæ
191000,8.1,40025,Mad Max: Fury RoadŒæ
0,6.7,16948,Angels & DemonsŒæ
63000,7,60059,ThorŒæ
0,6.9,20007,BoltŒæ
0,5.1,2217,G-ForceŒæ
19000,5.8,16184,Wrath of the TitansŒæ
82000,6.2,80849,Dark ShadowsŒæ
47000,7.4,21840,Mission: Impossible - Rogue NationŒæ
0,5.8,13071,The WolfmanŒæ
29000,6.6,21175,The Legend of TarzanŒæ
0,6.2,6576,Bee MovieŒæ
20000,7.3,21015,Kung Fu Panda 2Œæ
18000,4.2,2857,The Last AirbenderŒæ
0,6.9,34817,Mission: Impossible IIIŒæ
33000,6.4,18204,White House DownŒæ
0,5.4,2652,Mars Needs MomsŒæ
