budget,imdb_score,duration,movie_title
237000000,7.9,178,Avatarξ
300000000,7.1,169,Pirates of the Caribbean: At World's Endξ
245000000,6.8,148,Spectreξ
250000000,8.5,164,The Dark Knight Risesξ
,7.1,,Star Wars: Episode VII - The Force Awakensξ            
263700000,6.6,132,John Carterξ
258000000,6.2,156,Spider-Man 3ξ
260000000,7.8,100,Tangledξ
250000000,7.5,141,Avengers: Age of Ultronξ
250000000,7.5,153,Harry Potter and the Half-Blood Princeξ
250000000,6.9,183,Batman v Superman: Dawn of Justiceξ
209000000,6.1,169,Superman Returnsξ
200000000,6.7,106,Quantum of Solaceξ
225000000,7.3,151,Pirates of the Caribbean: Dead Man's Chestξ
215000000,6.5,150,The Lone Rangerξ
225000000,7.2,143,Man of Steelξ
225000000,6.6,150,The Chronicles of Narnia: Prince Caspianξ
220000000,8.1,173,The Avengersξ
250000000,6.7,136,Pirates of the Caribbean: On Stranger Tidesξ
225000000,6.8,106,Men in Black 3ξ
250000000,7.5,164,The Hobbit: The Battle of the Five Armiesξ
230000000,7,153,The Amazing Spider-Manξ
200000000,6.7,156,Robin Hoodξ
225000000,7.9,186,The Hobbit: The Desolation of Smaugξ
180000000,6.1,113,The Golden Compassξ
207000000,7.2,201,King Kongξ
200000000,7.7,194,Titanicξ
250000000,8.2,147,Captain America: Civil Warξ
209000000,5.9,131,Battleshipξ
150000000,7,124,Jurassic Worldξ
200000000,7.8,143,Skyfallξ
200000000,7.3,135,Spider-Man 2ξ
200000000,7.2,195,Iron Man 3ξ
200000000,6.5,108,Alice in Wonderlandξ
210000000,6.8,104,X-Men: The Last Standξ
200000000,7.3,104,Monsters Universityξ
200000000,6,150,Transformers: Revenge of the Fallenξ
210000000,5.7,165,Transformers: Age of Extinctionξ
215000000,6.4,130,Oz the Great and Powerfulξ
200000000,6.7,142,The Amazing Spider-Man 2ξ
170000000,6.8,125,TRON: Legacyξ
200000000,6.3,106,Cars 2ξ
200000000,5.6,123,Green Lanternξ
200000000,8.3,103,Toy Story 3ξ
200000000,6.6,118,Terminator Salvationξ
190000000,7.2,140,Furious 7ξ
